pump,F_pump,sim_g2,sim_se,published_g2,published_err,diff,combined_sigma,sigma_ratio,verdict
normal,1.0,1.0173122928309868,0.00021717279764780166,1.0224,0.003,-0.005087707169013189,0.0030078503992117317,1.691476135364487,FAIL
quiet,0.08,1.0172129781630463,0.0002150252856972412,0.9823,0.006,0.03491297816304639,0.006003851753123921,5.815096641065544,FAIL
