card_id,card_class,config_id,delta_xx_meV,delta_xx_tag,gamma300_meV,gamma300_tag,irf_ps,irf_tag,T_hs_K,Tj_pulsed_K,Tj_cw_K,I_uA,V_j_pulsed_V,V_j_cw_V,mu_pulsed,eta_inj_pulsed,eta_inj_cw,S_retention_pulsed,S_retention_cw,Gamma_pulsed_meV,b_e_window_pulsed,b_e_window_cw,t_x_pulsed,eps_pulsed,t_x_cw,eps_cw,edge_beta,edge_eta_total,collected_flux_pulsed_s,collected_flux_cw_s,g2_pulsed,g2_cw0,g2_cw0_raw,eligible_pulsed,eligible_cw,eligible_row,headline_pass,secondary_pass,invalid_reasons_pulsed,invalid_reasons_cw,assumptions,pulse_width_ns,rep_rate_hz,duty_pulsed,edge_T_facet,edge_eta_prop,edge_eta_NA,diagnostic_valid,diag_g2_pulsed,diag_g2_cw0,diag_g2_cw0_raw,emission_NA,emission_R_back,emission_L_um,emission_alpha_cm,model_finite_pulse,model_tau_cap_density
edge-inp-gaasp-design,primary,ab7254194fcb7c20,4.0,DR,6.0,E,50.0,E,230.0,230.0000244649943,230.00305812498743,0.005161206095463967,1.5843869464771674,1.584382082746956,1.9755510037900392,0.7154746130078012,0.7154566257210522,0.0001369574418038747,0.00013694623455459375,3.5504227582877306,0.132408827719136,0.1324067716372005,0.5,0.1933134665228946,0.5,0.1933245262505015,0.028678950079460443,0.005684929362405058,26.824570247195066,26.822160684671363,0.6200283156419071,0.40205577449354746,0.996925449373348,False,True,False,False,False,ineligible: flux_below_floor,,dot.gamma300; drive.b_res; drive.diode.tau_pulse_ns; drive.duty (rep-rate-derived); emission.lambda_nm; ret.system.barrier.x_al,0.1,80000000.0,0.008000000000000002,0.7284592918930757,0.8824969025845955,0.57933522865854,True,0.6200283156419071,0.40205577449354746,0.996925449373348,0.5,0.0,250.0,5.0,False,False
edge-inp-gaasp-design,primary,9cb483117de46e62,4.0,DR,6.0,E,200.0,E,230.0,230.0000244649943,230.00305812498743,0.005161206095463967,1.5843869464771674,1.584382082746956,1.9755510037900392,0.7154746130078012,0.7154566257210522,0.0001369574418038747,0.00013694623455459375,3.5504227582877306,0.132408827719136,0.1324067716372005,0.5,0.1933134665228946,0.5,0.1933245262505015,0.028678950079460443,0.005684929362405058,26.824570247195066,26.822160684671363,0.6200283156419071,0.40205577449354746,0.9992313323909078,False,True,False,False,False,ineligible: flux_below_floor,,dot.gamma300; drive.b_res; drive.diode.tau_pulse_ns; drive.duty (rep-rate-derived); emission.lambda_nm; ret.system.barrier.x_al,0.1,80000000.0,0.008000000000000002,0.7284592918930757,0.8824969025845955,0.57933522865854,True,0.6200283156419071,0.40205577449354746,0.9992313323909078,0.5,0.0,250.0,5.0,False,False
edge-inp-gaasp-design,primary,b8fac90b77373ca8,4.0,DR,20.0,E,50.0,E,230.0,230.0000244649943,230.00305812498743,0.005161206095463967,1.5843869464771674,1.584382082746956,1.9755510037900392,0.7154746130078012,0.7154566257210522,0.0001369574418038747,0.00013694623455459375,11.271960220619453,0.42549356574059977,0.4254885281106762,0.5,0.9902257424317152,0.5,0.9902394605283441,0.028678950079460443,0.005684929362405058,26.824570247195066,26.822160684671363,0.8950596366936399,0.9916388191460791,0.9999569338356951,False,True,False,False,False,ineligible: flux_below_floor,,dot.gamma300; drive.b_res; drive.diode.tau_pulse_ns; drive.duty (rep-rate-derived); emission.lambda_nm; ret.system.barrier.x_al,0.1,80000000.0,0.008000000000000002,0.7284592918930757,0.8824969025845955,0.57933522865854,True,0.8950596366936399,0.9916388191460791,0.9999569338356951,0.5,0.0,250.0,5.0,False,False
edge-inp-gaasp-design,primary,8a5ca3c9be97c045,4.0,DR,20.0,E,200.0,E,230.0,230.0000244649943,230.00305812498743,0.005161206095463967,1.5843869464771674,1.584382082746956,1.9755510037900392,0.7154746130078012,0.7154566257210522,0.0001369574418038747,0.00013694623455459375,11.271960220619453,0.42549356574059977,0.4254885281106762,0.5,0.9902257424317152,0.5,0.9902394605283441,0.028678950079460443,0.005684929362405058,26.824570247195066,26.822160684671363,0.8950596366936399,0.9916388191460791,0.9999892330388309,False,True,False,False,False,ineligible: flux_below_floor,,dot.gamma300; drive.b_res; drive.diode.tau_pulse_ns; drive.duty (rep-rate-derived); emission.lambda_nm; ret.system.barrier.x_al,0.1,80000000.0,0.008000000000000002,0.7284592918930757,0.8824969025845955,0.57933522865854,True,0.8950596366936399,0.9916388191460791,0.9999892330388309,0.5,0.0,250.0,5.0,False,False
edge-inp-gaasp-design,primary,fff58d728990a4f6,8.0,DR,6.0,E,50.0,E,230.0,230.0000244649943,230.00305812498743,0.005161206095463967,1.5843869464771674,1.584382082746956,1.9755510037900392,0.7154746130078012,0.7154566257210522,0.0001369574418038747,0.00013694623455459375,3.5504227582877306,0.132408827719136,0.1324067716372005,0.5,0.04615554625507013,0.5,0.04615814256677844,0.028678950079460443,0.005684929362405058,26.824570247195066,26.822160684671363,0.5350254374298332,0.2928453377998842,0.9963653504117189,False,True,False,False,False,ineligible: flux_below_floor,,dot.gamma300; drive.b_res; drive.diode.tau_pulse_ns; drive.duty (rep-rate-derived); emission.lambda_nm; ret.system.barrier.x_al,0.1,80000000.0,0.008000000000000002,0.7284592918930757,0.8824969025845955,0.57933522865854,True,0.5350254374298332,0.2928453377998842,0.9963653504117189,0.5,0.0,250.0,5.0,False,False
edge-inp-gaasp-design,primary,f9db105f10189af8,8.0,DR,6.0,E,200.0,E,230.0,230.0000244649943,230.00305812498743,0.005161206095463967,1.5843869464771674,1.584382082746956,1.9755510037900392,0.7154746130078012,0.7154566257210522,0.0001369574418038747,0.00013694623455459375,3.5504227582877306,0.132408827719136,0.1324067716372005,0.5,0.04615554625507013,0.5,0.04615814256677844,0.028678950079460443,0.005684929362405058,26.824570247195066,26.822160684671363,0.5350254374298332,0.2928453377998842,0.9990913022045405,False,True,False,False,False,ineligible: flux_below_floor,,dot.gamma300; drive.b_res; drive.diode.tau_pulse_ns; drive.duty (rep-rate-derived); emission.lambda_nm; ret.system.barrier.x_al,0.1,80000000.0,0.008000000000000002,0.7284592918930757,0.8824969025845955,0.57933522865854,True,0.5350254374298332,0.2928453377998842,0.9990913022045405,0.5,0.0,250.0,5.0,False,False
edge-inp-gaasp-design,primary,4f6959627699eda9,8.0,DR,20.0,E,50.0,E,230.0,230.0000244649943,230.00305812498743,0.005161206095463967,1.5843869464771674,1.584382082746956,1.9755510037900392,0.7154746130078012,0.7154566257210522,0.0001369574418038747,0.00013694623455459375,11.271960220619453,0.42549356574059977,0.4254885281106762,0.5,0.4800418306253425,0.5,0.48006755484551267,0.028678950079460443,0.005684929362405058,26.824570247195066,26.822160684671363,0.8647963598502597,0.6489367585800897,0.9981934825972564,False,True,False,False,False,ineligible: flux_below_floor,,dot.gamma300; drive.b_res; drive.diode.tau_pulse_ns; drive.duty (rep-rate-derived); emission.lambda_nm; ret.system.barrier.x_al,0.1,80000000.0,0.008000000000000002,0.7284592918930757,0.8824969025845955,0.57933522865854,True,0.8647963598502597,0.6489367585800897,0.9981934825972564,0.5,0.0,250.0,5.0,False,False
edge-inp-gaasp-design,primary,1179983f8a7e94ed,8.0,DR,20.0,E,200.0,E,230.0,230.0000244649943,230.00305812498743,0.005161206095463967,1.5843869464771674,1.584382082746956,1.9755510037900392,0.7154746130078012,0.7154566257210522,0.0001369574418038747,0.00013694623455459375,11.271960220619453,0.42549356574059977,0.4254885281106762,0.5,0.4800418306253425,0.5,0.48006755484551267,0.028678950079460443,0.005684929362405058,26.824570247195066,26.822160684671363,0.8647963598502597,0.6489367585800897,0.999548353039945,False,True,False,False,False,ineligible: flux_below_floor,,dot.gamma300; drive.b_res; drive.diode.tau_pulse_ns; drive.duty (rep-rate-derived); emission.lambda_nm; ret.system.barrier.x_al,0.1,80000000.0,0.008000000000000002,0.7284592918930757,0.8824969025845955,0.57933522865854,True,0.8647963598502597,0.6489367585800897,0.999548353039945,0.5,0.0,250.0,5.0,False,False
edge-inp-gaasp-design,primary,5aaf5cf7df0f9873,4.0,DR,6.0,E,50.0,E,250.0,250.00002500083284,250.00312510328607,0.005161206095463967,1.551515076443558,1.5515098556265423,1.6417941522250794,0.5945997007660919,0.5945810503799567,8.295500395826718e-05,8.294901235705915e-05,4.21344095579391,0.11341563039256147,0.1134120555260858,0.5,0.2750150461230519,0.5,0.27502902410166213,0.028678950079460443,0.005684929362405058,15.211104940380647,15.209818195410934,0.6340253044987918,0.4649065182922957,0.9983325559077147,False,True,False,False,False,ineligible: flux_below_floor,,dot.gamma300; drive.b_res; drive.diode.tau_pulse_ns; drive.duty (rep-rate-derived); emission.lambda_nm; ret.system.barrier.x_al,0.1,80000000.0,0.008000000000000002,0.7284592918930757,0.8824969025845955,0.57933522865854,True,0.6340253044987918,0.4649065182922957,0.9983325559077147,0.5,0.0,250.0,5.0,False,False
edge-inp-gaasp-design,primary,806452054d404539,4.0,DR,6.0,E,200.0,E,250.0,250.00002500083284,250.00312510328607,0.005161206095463967,1.551515076443558,1.5515098556265423,1.6417941522250794,0.5945997007660919,0.5945810503799567,8.295500395826718e-05,8.294901235705915e-05,4.21344095579391,0.11341563039256147,0.1134120555260858,0.5,0.2750150461230519,0.5,0.27502902410166213,0.028678950079460443,0.005684929362405058,15.211104940380647,15.209818195410934,0.6340253044987918,0.4649065182922957,0.9995831330145108,False,True,False,False,False,ineligible: flux_below_floor,,dot.gamma300; drive.b_res; drive.diode.tau_pulse_ns; drive.duty (rep-rate-derived); emission.lambda_nm; ret.system.barrier.x_al,0.1,80000000.0,0.008000000000000002,0.7284592918930757,0.8824969025845955,0.57933522865854,True,0.6340253044987918,0.4649065182922957,0.9995831330145108,0.5,0.0,250.0,5.0,False,False
edge-inp-gaasp-design,primary,f880b97622a6c0a2,4.0,DR,20.0,E,50.0,E,250.0,250.00002500083284,250.00312510328607,0.005161206095463967,1.551515076443558,1.5515098556265423,1.6417941522250794,0.5945997007660919,0.5945810503799567,8.295500395826718e-05,8.294901235705915e-05,13.628620117170883,0.37240353665161924,0.37239290312765977,0.5,1.060399126445315,0.5,1.0604074357805053,0.028678950079460443,0.005684929362405058,15.211104940380647,15.209818195410934,0.8927523005936553,1.0390471828564638,1.0001218111539145,False,True,False,False,False,ineligible: flux_below_floor,,dot.gamma300; drive.b_res; drive.diode.tau_pulse_ns; drive.duty (rep-rate-derived); emission.lambda_nm; ret.system.barrier.x_al,0.1,80000000.0,0.008000000000000002,0.7284592918930757,0.8824969025845955,0.57933522865854,True,0.8927523005936553,1.0390471828564638,1.0001218111539145,0.5,0.0,250.0,5.0,False,False
