diameter_um,dTj_K_10.0uA_lo,dTj_K_10.0uA_hi,dTj_K_50.0uA_lo,dTj_K_50.0uA_hi,dTj_K_200.0uA_lo,dTj_K_200.0uA_hi
0.3,5.359791741200667,27.948514741158178,28.79814670106782,194.14929834781583,151.23220049433644,inf
0.34576271186440677,4.034915580337184,20.627910938433175,21.30857593015024,132.58935880707085,104.90678497772313,1165.2221425931493
0.39152542372881355,3.1509381067991598,15.879649122514223,16.447758678712717,96.73936337750894,77.48807094731436,746.9563044963741
0.43728813559322033,2.5311922679084233,12.616903155547462,13.104541352949866,73.97296576453073,59.83710383176151,513.7914092804979
0.4830508474576271,2.0795854704820727,10.274647599553703,10.701766797307926,58.563517171115706,47.75582544823119,373.38309958229115
0.5288135593220339,1.740140120722927,8.534383344982828,8.914242159133863,47.61651737398083,39.094098539364865,283.33091568309686
0.5745762711864406,1.4784239862492967,7.204995088303775,7.546864416280812,39.54034684345689,32.65500729913134,222.4949150252832
0.6203389830508474,1.2722990427961207,6.165935047983723,6.476560983930312,33.399430147547605,27.72731302157419,179.5884331497332
0.6661016949152543,1.1070000417169013,5.338011650424676,5.622463858972409,28.613402788665297,23.865608494148688,148.22320367186933
0.711864406779661,0.9723674173861099,4.6674052902676095,4.9295953322384065,24.806024899521546,20.7787775112228,124.59656420428792
0.7576271186440677,0.8612233289613442,4.116473681395206,4.35948649514053,21.72427019361494,18.269619181083897,106.34349982624542
0.8033898305084746,0.7683783455529181,3.6582313931279344,3.884545238719795,19.192597773984062,16.200481232403376,91.93582695981476
0.8491525423728814,0.6900043433139729,3.272917119188179,3.4845551746893477,17.085964560392725,14.472785772975527,80.35258801916046
0.8949152542372882,0.6232268046453271,2.945781798017279,3.1444178913471887,15.313248287435272,13.014331886092378,70.89138217794925
0.9406779661016949,0.5658529162168975,2.66563557818624,2.85267125562369,13.806689508041813,11.771213908588095,63.05630418306032
0.9864406779661017,0.5161860887874496,2.4238619392726264,2.600483092131313,12.51502229233968,10.702489120278017,56.48921433004364
1.0322033898305085,0.47289685089212696,2.213737376618397,2.3809567578872475,11.398849151033062,9.776585479358246,50.92611691931275
1.0779661016949154,0.4349312285541487,2.0299524117548344,2.188642083667972,10.427470689533408,8.968824927903029,46.168926165409175
1.123728813559322,0.40144526172362305,1.868268502865476,2.01918496331227,9.576665612793562,8.25967986486151,42.066540435194725
1.1694915254237288,0.3717560787303995,1.725268445319486,1.869072341033501,8.827105872065147,7.63353422834841,38.50203372063048
1.2152542372881356,0.34530663909320936,1.5981722003029688,1.735443976602184,8.163217097787722,7.0777644564135755,35.383751414660864
1.2610169491525425,0.3216387722316796,1.4846992337384535,1.6159516920141783,7.572322263184432,6.582078852031202,32.63895263806802
1.306779661016949,0.30037280448364356,1.382964076464745,1.5086528659792577,7.0440209371223546,6.138014827736896,30.209305265576234
1.352542372881356,0.28119192639947244,1.2913980142277381,1.4119289577544833,6.569711881062204,5.738560076606049,28.047562504588797
1.3983050847457628,0.26383007946382975,1.2086855556777465,1.3244222165252353,6.142230300542508,5.37786261216435,26.115104654240668
1.4440677966101696,0.24806248427346134,1.1337178914072155,1.2449879276598494,5.755567980610493,5.051006542674756,24.380119471587832
1.4898305084745764,0.23369817127729675,1.0655548182661505,1.1726536724800098,5.404655275247791,4.753837025990933,22.816174609231865
1.535593220338983,0.22057404402188752,1.0033948422980643,1.106590123577476,5.085189755591642,4.482822410860038,21.40116957977108
1.5813559322033899,0.20855012550208585,0.9465512954373594,1.0460861721119414,4.793500407455937,4.234944772955387,20.116500297947297
1.6271186440677967,0.19750572540121425,0.894433120875803,0.9905292090858637,4.526439166360689,4.007612331473126,18.94641046822042
1.6728813559322033,0.18733632965999902,0.8465293115312704,0.9393891474496456,4.281293657952702,3.7985878785260923,17.877479919684447
1.7186440677966102,0.17795106074231626,0.802396228192265,0.8922053942247032,4.055716520880765,3.60593559879986,16.898214076360148
1.764406779661017,0.16927059188105886,0.7616472035150537,0.8485761652783452,3.8476669292133465,3.4279680415400833,15.9987328269967
1.8101694915254238,0.16122542478832713,0.7239439724473442,0.8081496726921813,3.6553669086644476,3.263212055867527,15.170484037836218
1.8559322033898307,0.15375446013655392,0.6889895710593947,0.7706168182956219,3.4772568906421952,3.110375979693103,14.406045949132846
1.9016949152542373,0.146803805227961,0.6565224228804993,0.7357051057653194,3.311967182914543,2.96832332845365,13.698948115749843
1.9474576271186441,0.14032577487405717,0.6263113909190849,0.7031735441002525,3.1582900851027347,2.836050844654082,13.043527643786035
1.993220338983051,0.13427801412358065,0.5981516191257441,0.6728083619015877,3.01515735855466,2.7126700990038586,12.434810298728848
