mu,f_eps=0.01,f_eps=0.1,f_eps=0.3
0.01,1.0032331636103473,1.0023324106132874,1.0003350754043492
0.010413289435570346,1.003366779069457,1.0024287666977845,1.0003489983359712
0.010843659686896103,1.0035059160176494,1.0025291016815285,1.0003635029528846
0.011291816686047524,1.003650802586644,1.0026335797172032,1.000378613818656
0.01175849554052157,1.0038016763307096,1.002742371717134,1.00039435655599
0.012244461739031428,1.0039587846190479,1.0028556556340653,1.0004107578976627
0.012750512407130129,1.0041223850322172,1.0029736167412735,1.0004278457278346
0.013277477614727686,1.0042927457926785,1.0030964479418092,1.000445649143061
0.013826221737646556,1.0044701461945396,1.0032243500718347,1.0004641984978058
0.014397644875448803,1.0046548770684214,1.0033575322336519,1.0004835254695115
0.014992684327860457,1.0048472412529006,1.00349621212972,1.0005036631143247
0.015612316132215046,1.0050475540913582,1.0036406164162044,1.0005246459315391
0.01625755666443794,1.0052561439442533,1.0037909810658447,1.0005465099262274
0.01692946430619779,1.0054733527307433,1.0039475517537557,1.0005692926832013
0.01762914118095948,1.005699536485738,1.0041105842520162,1.0005930334378288
0.01835773496178635,1.0059350659383794,1.0042803448387265,1.000617773148955
0.019116440753857017,1.0061803271226073,1.0044571107318594,1.0006435545837529
0.01990650305478458,1.0064357220035856,1.0046411705314129,1.0006704223976846
0.02072921779595371,1.006701669136623,1.0048328246861085,1.000698423225269
0.02158593446822417,1.0069786043488242,1.0050323859745653,1.000727605771197
0.02247805833548725,1.007266981450996,1.0052401800080786,1.000758020908403
0.02340705273970635,1.0075672729771763,1.005456545752,1.000789721779651
0.024374441501222206,1.0078799709546413,1.005681836068176,1.0008227639045766
0.025381811418260458,1.0082055877070064,1.0059164182806237,1.0008572052938587
0.026430814869741057,1.0085446566880774,1.006160674761684,1.0008931065672904
0.027523172525659015,1.0088977333510414,1.0064150035427666,1.00093053107931
0.0286606761694825,1.0092653960512983,1.006679818947519,1.0009695450493425
0.029845191637197507,1.0096482469880543,1.0069555522520275,1.0010102177009885
0.03107866187782014,1.0100469131837084,1.0072426523705609,1.0010526214080662
0.03236311014039673,1.0104620475012795,1.0075415865665645,1.0010968318466897
0.03370064329271928,1.0108943297055086,1.0078528411939442,1.0011429281578452
0.03509345527719985,1.0113444675656658,1.0081769224660897,1.0011909931174037
0.03654383070957257,1.0118131980020575,1.0085143572539979,1.0012411133144055
0.03805414862632631,1.0123012882807774,1.0088656939173746,1.0012933793409033
0.03962688638701478,1.0128095372549568,1.0092315031662993,1.001347885990482
0.04126462373784474,1.0133387766568271,1.0096123789570388,1.0014047324684618
