diameter_um,dTj_K_10.0uA_lo,dTj_K_10.0uA_hi,dTj_K_50.0uA_lo,dTj_K_50.0uA_hi,dTj_K_200.0uA_lo,dTj_K_200.0uA_hi
0.3,5.303583687033097,27.877821071089315,28.441285086397556,193.12502908100362,147.87395573985248,inf
0.34576271186440677,3.988039870479298,20.57216038700841,21.027572665746575,131.95248398671492,102.73074107258583,1140.889358519796
0.39152542372881355,3.11096166743026,15.833865538331949,16.217245239849063,96.29768989454357,75.9306067722163,734.6250894851656
0.43728813559322033,2.4965308606989964,12.578251048954385,12.910095571664584,73.64333399143084,58.64655948393775,506.7775724019824
0.4830508474576271,2.049146678934335,10.241360255403151,10.534418801778457,58.304626446057256,46.8035106659554,369.0075413228201
0.5288135593220339,1.7131371694184026,8.505284543393913,8.768028837330647,47.40559991592271,38.30717682869451,280.39184058894415
0.5745762711864406,1.454270584309782,7.179260922272704,7.417613838314438,39.36379529369941,31.98894737958865,220.40068716529402
0.6203389830508474,1.2505461594767837,6.142965000789033,6.361235542821333,33.24857496456153,27.15314076908902,178.0241196547304
0.6661016949152543,1.0872958723129784,5.317353772586429,5.518779490468475,28.482429031449982,23.363542185597254,147.00968075219376
0.711864406779661,0.9544311123346461,4.64871042611739,4.835788847326185,24.69086420234332,20.334753570145892,123.62602174604774
0.7576271186440677,0.8448270346066096,4.099466159550431,4.274166746264257,21.62197439580048,17.87330318065102,105.54781822058948
0.8033898305084746,0.7533346269844259,3.6426895492603677,3.806594308425659,19.100967002557212,15.844064494509709,91.27018160214016
0.8491525423728814,0.6761571458112883,3.2586598723968194,3.413060301644151,17.003315748904456,14.150225850188903,79.78633941051936
0.8949152542372882,0.6104448179543169,2.9326592493722075,3.0786238681731106,15.238265598014053,12.720858726261937,70.40295317507002
0.9406779661016949,0.5540246109649019,2.6535221667200517,2.791945771595536,13.738325261908827,11.50299522110899,62.630072305054114
0.9864406779661017,0.5052159418868598,2.412651402640776,2.5442912365105883,12.452428677750333,10.456398910341264,56.11359069104057
1.0322033898305085,0.46270243265925615,2.2033389627875124,2.328841863456205,11.341330338367712,9.550039736427891,50.59232195718482
1.0779661016949154,0.42544093276482897,2.0202879844272417,2.1402110971244355,10.374448433055875,8.759660416044369,45.870180089934536
1.123728813559322,0.39259647924588137,1.8592702974491147,1.974097108989767,9.527654048962418,8.066074447745052,41.797520190449546
1.1694915254237288,0.3634937816282928,1.716877306429268,1.8270302211226266,8.781692771977845,7.453927742146391,38.25849642486247
