kappa_meV,eps_delta_1.5,eps_delta_2.0,eps_delta_2.5,eps_delta_3.0,eps_delta_3.5,eps_delta_4.0,eps_delta_4.5,eps_delta_5.0
0.3,0.41681044723949406,0.27170771273433136,0.18769644777132066,0.13621844822569468,0.10287409470261216,0.08021714335660486,0.06419400509081692,0.052478379508906964
0.5454545454545454,0.47185380323131926,0.31577934077077036,0.22155693240358862,0.16234996049170894,0.12338320673077421,0.09662391680711535,0.07755993445575497,0.06354700976602451
0.790909090909091,0.52304050766904,0.35914042761946174,0.2560001103750688,0.18948852969676366,0.14497430456779392,0.11405788946388208,0.09185709712073555,0.075444559013443
1.0363636363636364,0.5700759506120873,0.40123381010261033,0.2905814862093688,0.21732792702535306,0.1674421935636249,0.13238050902867007,0.10699012685635449,0.08810390709042386
1.281818181818182,0.6129124691271771,0.4416488632608994,0.3249181640592897,0.24558428105063346,0.19058823409847925,0.15145380492165975,0.12286218220428606,0.10145592617880218
1.5272727272727276,0.6516705763659347,0.4801043909676,0.358690594128236,0.2740003096191008,0.21422364540666905,0.17114256661598004,0.13937632493326352,0.11543035166713635
1.772727272727273,0.6865760576971754,0.5164281642807121,0.39164086350660915,0.30234784175733326,0.23817207943417212,0.1913162240275839,0.15643678005863268,0.12995660817677868
2.018181818181818,0.7179130130901835,0.5505359392298672,0.42356852036937614,0.3304288410162992,0.26227147624859093,0.2118504068455587,0.17395005623230536,0.1449645763183898
2.2636363636363637,0.7459907287218345,0.5824117926811081,0.45432483831131754,0.3580751909343371,0.28637524775977347,0.23262817665841212,0.19182591275399008,0.16038528894335227
2.5090909090909093,0.7711215331500348,0.6120907916485375,0.48380628030010236,0.3851475189672606,0.3103528614362705,0.25354094016242446,0.20997816646055814,0.1761515488888286
2.754545454545455,0.7936068633502198,0.6396444064823444,0.5119477500975407,0.41153332535836407,0.33408991074513317,0.27448906318074323,0.22832533801172228,0.19219846333670487
3.0,0.8137291841763574,0.6651686794832984,0.5387160515237182,0.43714465644154993,0.35748776543723876,0.2953822135524296,0.24679114240213026,0.2084638927928614
