T_K,g2_measured,err,reachable_lo,reachable_hi
77.0,0.11,0.03,0.0007647233814787992,0.5589842764731445
220.0,0.34,0.05,0.1455611543949917,0.8625232877710307
300.0,0.57,0.05,0.5097238911082723,0.8606851217266329
