T_K,detuning_meV
10.0,19.369652128764294
11.457286432160805,19.351208885175943
12.914572864321608,19.32321324856745
14.371859296482413,19.285856460238506
15.829145728643216,19.239324690399016
17.28643216080402,19.183799205147565
18.743718592964825,19.119456526895505
20.201005025125628,19.046468588534758
21.65829145728643,18.965002881632167
23.115577889447238,18.875222598917716
24.57286432160804,18.777286771323176
26.030150753768844,18.671350399810606
27.48743718592965,18.557564582222685
28.944723618090453,18.43607663537017
30.402010050251256,18.3070302125663
31.859296482412063,18.170565416804287
33.31658291457286,18.026818909763655
34.77386934673367,17.875924016825362
36.231155778894475,17.71801082826552
37.688442211055275,17.553206296786694
39.14572864321608,17.38163433154316
40.60301507537689,17.203415888804805
42.06030150753769,17.018669059397862
43.517587939698494,16.827509153059637
44.9748743718593,16.630048779827654
46.4321608040201,16.426397928589466
47.88944723618091,16.216664042904448
49.34673366834171,16.00095209420993
50.80402010050251,15.779364652513506
52.26130653266332,15.55200195467532
53.718592964824126,15.318961970372191
55.175879396984925,15.080340465836839
56.63316582914573,14.83623106545906
58.09045226130654,14.586725311331428
59.54773869346734,14.331912720819684
61.005025125628144,14.071880842233764
62.46231155778895,13.806715308670503
63.91959798994975,13.536499890102416
65.37688442211055,13.26131654377205
66.83417085427136,12.98124546296231
68.29145728643216,12.696365124197584
69.74874371859298,12.406752332941862
71.20603015075378,12.112482267839786
72.66331658291458,11.813628523563269
74.12060301507537,11.510263152309186
75.57788944723619,11.20245670399922
77.03517587939699,10.890278265230924
78.49246231155779,10.573795497020866
79.9497487437186,10.253074671386253
81.4070351758794,9.928180706806566
82.8643216080402,9.599177202603615
84.32160804020101,9.266126472278868
85.77889447236181,8.929089575846039
87.23618090452261,8.588126351190661
88.69346733668343,8.243295444495313
90.15075376884423,7.894654339759333
91.60804020100502,7.542259387445238
93.06532663316584,7.186165832281599
94.52261306532664,6.826427840253002
95.97989949748744,6.46309852480198
97.43718592964825,6.096229972271772
98.89447236180905,5.725873266614112
100.35175879396985,5.352078513386482
