T_hs_K,dot,cavity_top_pairs,kappa_meV,eps,g2_poisson,g2_quiet,t_x,rho2,Z_zpl,F_planar,F_eff,brightness_ok
120.0,"small (l_xy 3.0, l_z 1.0)",none,nan,0.2781370601530482,0.3192071472198248,0.1340207952280943,0.3619944912733436,0.9540518914702144,0.23402782030929598,1.0,1.0,True
120.0,"small (l_xy 3.0, l_z 1.0)",10,3.0975460449408274,0.23533973849289827,0.25134148153283076,0.08429139777156325,0.3047771419559306,0.9940771032920401,0.23402782030929598,95.71741345818204,53.34713413338423,True
120.0,"small (l_xy 3.0, l_z 1.0)",12,1.6522387159009213,0.22892397478264334,0.24531865780651751,0.08226096524799031,0.2411610122677098,0.9940771032920401,0.23402782030929598,177.32832539590555,71.24475705486883,False
120.0,"small (l_xy 3.0, l_z 1.0)",14,0.8862225073778518,0.22092527711949533,0.23776122580390646,0.07972154876929693,0.1652637961709026,0.9940771032920401,0.23402782030929598,328.5226151817694,87.00196188350411,False
120.0,"small (l_xy 3.0, l_z 1.0)",16,0.476747545083299,0.21405244266884224,0.23122413895243055,0.07753243194562587,0.10200785752843079,0.9940771032920401,0.23402782030929598,608.6287029717489,98.7976748839165,False
120.0,"small (l_xy 3.0, l_z 1.0)",18,0.25687020147120165,0.20933489327800206,0.226713676502451,0.07602597996078819,0.05922451085735699,0.9940771032920401,0.23402782030929598,1127.559811601144,106.59936980034118,False
120.0,"default lens (4.5, 1.5)",none,nan,0.17804008387140335,0.22866375341783263,0.1035612879313964,0.43457404084645196,0.9540518914702144,0.38012368001700336,1.0,1.0,True
120.0,"default lens (4.5, 1.5)",10,3.0975460449408274,0.14508816638951336,0.16334484628710233,0.05519580818480252,0.3667931719462566,0.9940771032920401,0.38012368001700336,95.71741345818204,53.34713413338423,True
120.0,"default lens (4.5, 1.5)",12,1.6522387159009213,0.13942409331422867,0.15758021421927615,0.05333095792392273,0.2919972090608388,0.9940771032920401,0.38012368001700336,177.32832539590555,71.24475705486883,False
120.0,"default lens (4.5, 1.5)",14,0.8862225073778518,0.1324945296679707,0.15048739075879702,0.05104310883294516,0.20163459963918118,0.9940771032920401,0.38012368001700336,328.5226151817694,87.00196188350411,False
120.0,"default lens (4.5, 1.5)",16,0.476747545083299,0.1266508975982054,0.1444714576716274,0.04910834389134855,0.12528816588727903,0.9940771032920401,0.38012368001700336,608.6287029717489,98.7976748839165,False
120.0,"default lens (4.5, 1.5)",18,0.25687020147120165,0.1226972482806262,0.14038316404564755,0.047796499079688415,0.07307787659004962,0.9940771032920401,0.38012368001700336,1127.559811601144,106.59936980034118,False
120.0,"large lens (7.0, 3.0)",none,nan,0.13154637180741433,0.18375716210795812,0.08895065452387596,0.48044134967836405,0.9540518914702144,0.5519963426152886,1.0,1.0,True
120.0,"large lens (7.0, 3.0)",10,3.0975460449408274,0.1073815968723709,0.12440708483454443,0.04269299721023723,0.4066584829462347,0.9940771032920401,0.5519963426152886,95.71741345818204,53.34713413338423,True
120.0,"large lens (7.0, 3.0)",12,1.6522387159009213,0.10259326912949741,0.11936662251788943,0.04109032576329885,0.325595043192962,0.9940771032920401,0.5519963426152886,177.32832539590555,71.24475705486883,True
120.0,"large lens (7.0, 3.0)",14,0.8862225073778518,0.09680330955936219,0.11324248314514718,0.03914786864402875,0.2264656548773647,0.9940771032920401,0.5519963426152886,328.5226151817694,87.00196188350411,False
120.0,"large lens (7.0, 3.0)",16,0.476747545083299,0.09197668981922025,0.10811264086739336,0.03752479527199437,0.14160667512161318,0.9940771032920401,0.5519963426152886,608.6287029717489,98.7976748839165,False
120.0,"large lens (7.0, 3.0)",18,0.25687020147120165,0.08873974420238342,0.10465972895564302,0.03643434787062827,0.08295883491825326,0.9940771032920401,0.5519963426152886,1127.559811601144,106.59936980034118,False
120.0,"flat pancake (6.0, 1.0)",none,nan,0.16097622180933638,0.21240065543165354,0.09823371752674603,0.4506357798636535,0.9540518914702144,0.45347310521973294,1.0,1.0,True
120.0,"flat pancake (6.0, 1.0)",10,3.0975460449408274,0.13211403046505626,0.15009663909975124,0.0509172813697627,0.380861245118018,0.9940771032920401,0.45347310521973294,95.71741345818204,53.34713413338423,True
120.0,"flat pancake (6.0, 1.0)",12,1.6522387159009213,0.12675737288573025,0.14458135699161845,0.04914364138708516,0.30400981327849824,0.9940771032920401,0.45347310521973294,177.32832539590555,71.24475705486883,True
120.0,"flat pancake (6.0, 1.0)",14,0.8862225073778518,0.12023095615393346,0.13782546380428584,0.04697700794062054,0.21064324814361748,0.9940771032920401,0.45347310521973294,328.5226151817694,87.00196188350411,False
120.0,"flat pancake (6.0, 1.0)",16,0.476747545083299,0.11474943626826485,0.13212029318990193,0.0451524279004224,0.13127570982202777,0.9940771032920401,0.45347310521973294,608.6287029717489,98.7976748839165,False
120.0,"flat pancake (6.0, 1.0)",18,0.25687020147120165,0.11105210681457198,0.12825608603669225,0.04391923692983957,0.07672951403444242,0.9940771032920401,0.45347310521973294,1127.559811601144,106.59936980034118,False
120.0,"tall near-sph (3.0, 3.0)",none,nan,0.19156557170074473,0.24137826793826644,0.10775578721438817,0.4223768907814019,0.9540518914702144,0.3291514181008879,1.0,1.0,True
120.0,"tall near-sph (3.0, 3.0)",10,3.0975460449408274,0.155054205840527,0.17341654629040226,0.05846576018819294,0.356145500983396,0.9940771032920401,0.3291514181008879,95.71741345818204,53.34713413338423,True
120.0,"tall near-sph (3.0, 3.0)",12,1.6522387159009213,0.14912561646935965,0.1674360185482332,0.056522265301331975,0.28292278043163777,0.9940771032920401,0.3291514181008879,177.32832539590555,71.24475705486883,False
120.0,"tall near-sph (3.0, 3.0)",14,0.8862225073778518,0.14184996139887907,0.1600527610281529,0.05413022575730875,0.19484573943346056,0.9940771032920401,0.3291514181008879,328.5226151817694,87.00196188350411,False
120.0,"tall near-sph (3.0, 3.0)",16,0.476747545083299,0.1356959804736298,0.15376978733870872,0.05210096190463953,0.12078539605587725,0.9940771032920401,0.3291514181008879,608.6287029717489,98.7976748839165,False
120.0,"tall near-sph (3.0, 3.0)",18,0.25687020147120165,0.13152287392596043,0.14948928731924982,0.05072174961640419,0.0703357365078767,0.9940771032920401,0.3291514181008879,1127.559811601144,106.59936980034118,False
300.0,"small (l_xy 3.0, l_z 1.0)",none,nan,1.0200500036960414,0.948537254132138,nan,0.46026864815074797,0.23475862458507643,0.02707990926078661,1.0,1.0,True
300.0,"small (l_xy 3.0, l_z 1.0)",10,2.9772097237705566,0.8696040740574057,0.7697687834112439,0.4196809992533692,0.17603910350697338,0.7790216065973175,0.02707990926078661,95.71741345818204,20.383957477858207,False
300.0,"small (l_xy 3.0, l_z 1.0)",12,1.5880510247798156,0.8470495029969475,0.7601741896825427,0.4154149890306137,0.10507527243849016,0.7790216065973175,0.02707990926078661,177.32832539590555,22.365704826459858,False
300.0,"small (l_xy 3.0, l_z 1.0)",14,0.8517937193214493,0.8322106509842578,0.7537595187539523,0.4125858382980284,0.05988997868560488,0.7790216065973175,0.02707990926078661,328.5226151817694,23.605208225969864,False
300.0,"small (l_xy 3.0, l_z 1.0)",16,0.4582264174325701,0.823318280309137,0.7498759978549956,0.41088181331469253,0.03329177354956533,0.7790216065973175,0.02707990926078661,608.6287029717489,24.33344882066235,False
300.0,"small (l_xy 3.0, l_z 1.0)",18,0.24689107134190635,0.8182437761196741,0.7476464714557023,0.4099064892972817,0.018257672417170797,0.7790216065973175,0.02707990926078661,1127.559811601144,24.745652065129573,False
