T_K,g2_model,eps,rho,gamma_meV
58.0,0.07272326861001022,0.012572843349886516,0.9690633020779618,1.737506032304356
58.77591973244147,0.07289230573027505,0.01275284554058235,0.9690633020779618,1.753396466374091
59.551839464882946,0.0730628660985414,0.012934469789065088,0.9690633020779617,1.7693135279426553
60.32775919732441,0.07323496806606167,0.013117735636993198,0.9690633020779615,1.7852582200359555
61.103678929765884,0.0734086301255179,0.01330266277662837,0.9690633020779612,1.8012315335595859
61.87959866220736,0.0735838708894766,0.01348927102789424,0.9690633020779608,1.8172344455924643
62.65551839464883,0.07376070906927468,0.013677580315890364,0.9690633020779599,1.833267917796749
63.4314381270903,0.07393916345438556,0.013867610648922831,0.9690633020779585,1.8493328949443684
64.20735785953177,0.07411925289232968,0.014059382097108693,0.9690633020779563,1.8654303035596767
64.98327759197325,0.0743009962691622,0.014252914771599116,0.9690633020779525,1.8815610506770293
65.75919732441471,0.07448441249058013,0.014448228804460837,0.9690633020779464,1.8977260227114312
66.5351170568562,0.07466952046367892,0.01464534432924919,0.9690633020779368,1.91392608443987
67.31103678929766,0.07485633907937894,0.014844281462293251,0.9690633020779215,1.9301620780904611
68.08695652173913,0.07504488719554214,0.015045060284717185,0.9690633020778975,1.9464348225361492
68.8628762541806,0.07523518362078929,0.015247700825206668,0.9690633020778602,1.9627451125893691
69.63879598662207,0.07542724709902537,0.015452223043529643,0.969063302077803,1.979093718393805
70.41471571906355,0.07562109629467795,0.01565864681481513,0.9690633020777162,1.9954813849091866
71.19063545150502,0.07581674977864816,0.015866991914588745,0.9690633020775854,2.011908831484883
71.9665551839465,0.07601422601496621,0.016077278004560724,0.9690633020773902,2.028376751517974
72.74247491638796,0.07621354334814812,0.016289524619157548,0.9690633020771017,2.044885812191368
73.51839464882943,0.07641471999124616,0.01650375115278866,0.9690633020766785,2.0614366542875646
74.29431438127091,0.0766177740145737,0.016719976847833017,0.9690633020760631,2.078029892073589
75.07023411371237,0.07682272333509998,0.016938220783332222,0.9690633020751753,2.094666113252722
75.84615384615384,0.07702958570649354,0.017158501864371827,0.9690633020739043,2.1113458789786597
76.62207357859532,0.07723837870979844,0.017380838812133464,0.9690633020720985,2.128069723927846
77.39799331103679,0.07744911974473179,0.017605250154597712,0.9690633020695512,2.1448381564257906
78.17391304347827,0.07766182602157634,0.01783175421787666,0.9690633020659833,2.161651658623315
78.94983277591973,0.07787651455366018,0.018060369118157175,0.9690633020610201,2.1785106867187856
79.72575250836121,0.07809320215039317,0.0182911127542287,0.9690633020541616,2.195415671222533
80.50167224080268,0.07831190541085642,0.01852400280057869,0.969063302044745,2.2123670172597785
81.27759197324414,0.07853264071791621,0.018759056701029158,0.9690633020318968,2.2293651049085783
82.05351170568562,0.07875542423284987,0.01899629166289312,0.9690633020144729,2.2464102895693965
82.82943143812709,0.07898027189047097,0.01923572465163058,0.9690633019909827,2.2635029023631192
83.60535117056857,0.07920719939473253,0.019477372385978627,0.9690633019594956,2.2806432505544496
84.38127090301003,0.0794362222148024,0.019721251333536152,0.9690633019175243,2.297831617997791
85.15719063545151,0.07966735558159388,0.019967377706780476,0.9690633018618805,2.3150682656028887
85.93311036789298,0.07990061448474539,0.020215767459495833,0.9690633017884985,2.332353431817634
86.70903010033445,0.08013601367004086,0.020466436283592043,0.9690633016922197,2.34968733312561
87.48494983277592,0.08037356763726466,0.020719399606293123,0.969063301566529,2.36707016455609
88.26086956521739,0.08061329063849432,0.02097467258767882,0.9690633014032374,2.3845021002043505
89.03678929765886,0.08085519667682306,0.021232270118555923,0.9690633011920982,2.4019832937603027
89.81270903010034,0.08109929950552652,0.021492206818645287,0.9690633009203462,2.419513879043577
90.58862876254182,0.08134561262767259,0.02175449703506439,0.9690633005721481,2.4370939705433305
91.36454849498328,0.0815941492961968,0.02201915484108947,0.9690633001279451,2.4547236639611776
92.14046822742475,0.08184492251444708,0.022286194035179514,0.969063299563676,2.4724030367557464
92.91638795986623,0.08209794503723011,0.022555628140249473,0.9690632988498583,2.490132148687508
93.6923076923077,0.0823532293723831,0.022827470403174496,0.9690632979505038,2.5079110423626094
94.46822742474916,0.08261078778289443,0.023101733794511622,0.9690632968218512,2.5257397437745586
95.24414715719064,0.08287063228962654,0.023378431008427385,0.9690632954108792,2.543618262842715
96.02006688963212,0.08313277467466984,0.02365757446281522,0.9690632936535781,2.5615465939466167
96.79598662207357,0.08339722648539072,0.023939176299591844,0.9690632914729403,2.5795247164552806
97.57190635451505,0.08366399903922184,0.024223248385159775,0.969063288776636,2.5975525952506957
98.34782608695653,0.08393310342927118,0.024509802311028242,0.9690632854543301,2.6156301812447844
99.123745819398,0.0842045505308151,0.024798849394574596,0.9690632813745967,2.6337574118892286
99.89966555183946,0.08447835100876444,0.025090400679944034,0.9690632763813803,2.651934211677573
100.67558528428094,0.08475451532619138,0.025384466939073078,0.9690632702899494,2.670160492639134
101.45150501672241,0.08503305375402115,0.025681058672827398,0.9690632628822828,2.688436154824257
102.22742474916387,0.08531397638200333,0.025980186112251072,0.9690632539018229,2.706761086780569
103.00334448160535,0.08559729313107423,0.02628185921991011,0.969063243047528,2.7251351660198875
103.77926421404683,0.0858830137672586,0.026586087691331143,0.969063229967144,2.7435582594755146
104.5551839464883,0.0861711479172429,0.026892880956522616,0.9690632142496148,2.762030223949696
105.33110367892976,0.08646170508578088,0.027202248181574597,0.9690631954165454,2.780550906551054
106.10702341137124,0.08675469467510444,0.0275141982703281,0.9690631729126149,2.7991201451218513
106.88294314381271,0.0870501260065093,0.027828739866109994,0.9690631460948482,2.8177377686549705
107.65886287625418,0.08734800834432521,0.02814588135352771,0.9690631142206266,2.8364035977005475
108.43478260869566,0.08764835092246392,0.02846563086031724,0.9690630764343285,2.8551174447622003
109.21070234113714,0.08795116297377215,0.028787996259239484,0.9690630317524739,2.87387911468284
109.98662207357859,0.08825645376242786,0.02911298517002174,0.9690629790472391,2.8926884050200745
110.76254180602007,0.08856423261961621,0.0294406049613378,0.9690629170282089,2.91154510641124
111.53846153846155,0.08887450898276472,0.029770862752825044,0.9690628442222102,2.9304490029281034
112.31438127090301,0.08918729243859735,0.030103765417130644,0.969062758951082,2.949399872421317
113.09030100334448,0.0895025927703128,0.030439319581989154,0.96906265930721,2.9683974868547147
