label,b_e,G_required
staged 120K t=0.1 D=5.0,0.006694329500821696,1.674616675008824
staged 120K t=0.1 D=5.0,0.007748595937280139,1.765149475294954
staged 120K t=0.1 D=5.0,0.00896889509126561,1.8699399682639055
staged 120K t=0.1 D=5.0,0.010381374872202241,1.991233547850201
staged 120K t=0.1 D=5.0,0.012016301131913909,2.131629227191227
staged 120K t=0.1 D=5.0,0.013908706184906817,2.29413532887326
staged 120K t=0.1 D=5.0,0.016099139461833112,2.482233945638699
staged 120K t=0.1 D=5.0,0.018634536380731554,2.6999555527836394
staged 120K t=0.1 D=5.0,0.02156922405374761,2.951965370999836
staged 120K t=0.1 D=5.0,0.024966085379071832,3.2436633301972484
staged 120K t=0.1 D=5.0,0.028897906461628424,3.5812997762778527
staged 120K t=0.1 D=5.0,0.03344893623431454,3.9721094001627764
staged 120K t=0.1 D=5.0,0.03871669169850972,4.424466258831444
staged 120K t=0.1 D=5.0,0.04481404746557166,4.948063210079602
staged 120K t=0.1 D=5.0,0.051871654372881576,5.554119605827041
staged 120K t=0.1 D=5.0,0.06004073899923431,6.255621694314744
staged 120K t=0.1 D=5.0,0.06949634406607254,7.067600882399545
staged 120K t=0.1 D=5.0,0.08044107915812841,8.007455820400079
staged 120K t=0.1 D=5.0,0.0931094621318829,9.095325210953641
staged 120K t=0.1 D=5.0,0.10777294423719211,10.35451933023027
staged 120K t=0.1 D=5.0,0.1247457266276664,11.81201950790696
staged 120K t=0.1 D=5.0,0.14439149289283548,13.499056268488353
staged 120K t=0.1 D=5.0,0.1671312018731537,15.451778522073074
staged 120K t=0.1 D=5.0,0.19345210773806518,17.71202814362307
staged 120K t=0.1 D=5.0,0.2239182006044756,20.32823653800094
staged 120K t=0.1 D=5.0,0.2591822914115521,23.35646240188563
staged 120K t=0.1 D=5.0,0.3,26.861592919166466
300K G(300)=6.0 D=5.4,0.001,4.389737912688945
300K G(300)=6.0 D=5.4,0.0011574864870826924,4.439615603072492
300K G(300)=6.0 D=5.4,0.001339774967779032,4.497348355698343
300K G(300)=6.0 D=5.4,0.0015507714209358793,4.564173236724854
300K G(300)=6.0 D=5.4,0.001794996964287308,4.6415221335139485
300K G(300)=6.0 D=5.4,0.0020776847305170134,4.731052436338079
300K G(300)=6.0 D=5.4,0.002404891999991488,4.834682552041431
300K G(300)=6.0 D=5.4,0.0027836299928834184,4.954633010622877
300K G(300)=6.0 D=5.4,0.003222014101800648,5.093474045550273
300K G(300)=6.0 D=5.4,0.0037294377840241325,5.254180667331312
300K G(300)=6.0 D=5.4,0.004316773839423554,5.440196410427573
300K G(300)=6.0 D=5.4,0.004996607386924837,5.655507119446139
300K G(300)=6.0 D=5.4,0.00578350553162306,5.9047263556593235
300K G(300)=6.0 D=5.4,0.006694329500821696,6.193194253897154
300K G(300)=6.0 D=5.4,0.007748595937280139,6.527091948064589
300K G(300)=6.0 D=5.4,0.00896889509126561,6.913574017131464
300K G(300)=6.0 D=5.4,0.010381374872202241,7.360921789576133
300K G(300)=6.0 D=5.4,0.012016301131913909,7.878720791207378
300K G(300)=6.0 D=5.4,0.013908706184906817,8.478066138620457
300K G(300)=6.0 D=5.4,0.016099139461833112,9.171800279346977
300K G(300)=6.0 D=5.4,0.018634536380731554,9.974788172865843
300K G(300)=6.0 D=5.4,0.02156922405374761,10.904235808904932
300K G(300)=6.0 D=5.4,0.024966085379071832,11.980058888071126
300K G(300)=6.0 D=5.4,0.028897906461628424,13.225309564697689
300K G(300)=6.0 D=5.4,0.03344893623431454,14.66667039592352
300K G(300)=6.0 D=5.4,0.03871669169850972,16.33502608107769
300K G(300)=6.0 D=5.4,0.04481404746557166,18.266125242291235
300K G(300)=6.0 D=5.4,0.051871654372881576,20.501346426612628
300K G(300)=6.0 D=5.4,0.06004073899923431,23.088584743105628
300K G(300)=6.0 D=5.4,0.06949634406607254,26.083278133308838
300K G(300)=6.0 D=5.4,0.08044107915812841,29.549595265424905
300K G(300)=6.0 D=5.4,0.0931094621318829,33.56181050579251
300K G(300)=6.0 D=5.4,0.10777294423719211,38.20589542978523
300K G(300)=6.0 D=5.4,0.1247457266276664,43.58136097417126
300K G(300)=6.0 D=5.4,0.14439149289283548,49.80338970357669
300K G(300)=6.0 D=5.4,0.1671312018731537,57.005303880103774
300K G(300)=6.0 D=5.4,0.19345210773806518,65.34142222056322
300K G(300)=6.0 D=5.4,0.2239182006044756,74.99036655436714
300K G(300)=6.0 D=5.4,0.2591822914115521,86.15888923535832
300K G(300)=6.0 D=5.4,0.3,99.08630331928212
300K G(300)=7.0 D=5.4,0.001,5.553325838287428
300K G(300)=7.0 D=5.4,0.0011574864870826924,5.616424609164021
300K G(300)=7.0 D=5.4,0.001339774967779032,5.6894605838052055
300K G(300)=7.0 D=5.4,0.0015507714209358793,5.773998737523289
300K G(300)=7.0 D=5.4,0.001794996964287308,5.871850508094893
300K G(300)=7.0 D=5.4,0.0020776847305170134,5.985112610268639
300K G(300)=7.0 D=5.4,0.002404891999991488,6.116211963033329
