label,b_e,G_required
300K G(300)=7.0 D=5.4,0.0027836299928834184,6.267957692323745
300K G(300)=7.0 D=5.4,0.003222014101800648,6.44360132344991
300K G(300)=7.0 D=5.4,0.0037294377840241325,6.646906453020584
300K G(300)=7.0 D=5.4,0.004316773839423554,6.882229393253233
300K G(300)=7.0 D=5.4,0.004996607386924837,7.154612516673094
300K G(300)=7.0 D=5.4,0.00578350553162306,7.46989230134096
300K G(300)=7.0 D=5.4,0.006694329500821696,7.834824391744355
300K G(300)=7.0 D=5.4,0.007748595937280139,8.257228355089126
300K G(300)=7.0 D=5.4,0.00896889509126561,8.746155234750868
300K G(300)=7.0 D=5.4,0.010381374872202241,9.312081491130845
300K G(300)=7.0 D=5.4,0.012016301131913909,9.967133485575959
300K G(300)=7.0 D=5.4,0.013908706184906817,10.72534731748275
300K G(300)=7.0 D=5.4,0.016099139461833112,11.602969582234048
300K G(300)=7.0 D=5.4,0.018634536380731554,12.618805494446582
300K G(300)=7.0 D=5.4,0.02156922405374761,13.794621835925916
300K G(300)=7.0 D=5.4,0.024966085379071832,15.155613362479246
300K G(300)=7.0 D=5.4,0.028897906461628424,16.730942663498777
300K G(300)=7.0 D=5.4,0.03344893623431454,18.554365042134304
300K G(300)=7.0 D=5.4,0.03871669169850972,20.66495180564911
300K G(300)=7.0 D=5.4,0.04481404746557166,23.10792746423309
300K G(300)=7.0 D=5.4,0.051871654372881576,25.935638777315987
300K G(300)=7.0 D=5.4,0.06004073899923431,29.208676411580313
300K G(300)=7.0 D=5.4,0.06949634406607254,32.997173244954354
300K G(300)=7.0 D=5.4,0.08044107915812841,37.38230713594038
300K G(300)=7.0 D=5.4,0.0931094621318829,42.45804035880508
300K G(300)=7.0 D=5.4,0.10777294423719211,48.333132976307624
300K G(300)=7.0 D=5.4,0.1247457266276664,55.13347329142612
300K G(300)=7.0 D=5.4,0.14439149289283548,63.00477531373943
300K G(300)=7.0 D=5.4,0.1671312018731537,72.11570104031375
300K G(300)=7.0 D=5.4,0.19345210773806518,82.66147445363767
300K G(300)=7.0 D=5.4,0.2239182006044756,94.86806467539594
300K G(300)=7.0 D=5.4,0.2591822914115521,108.99702791043688
300K G(300)=7.0 D=5.4,0.3,125.35111193148488
