Gamma300_meV,delta_xx_meV,config,g2_q,g2_p,t_x,eps,rho2
3.0,1.0,slit,nan,0.9484825442656895,0.4683852865300461,1.0195597833786731,0.23475862458507643
3.0,1.5,slit,0.8224365474750085,0.9245511363968962,0.4683852865300461,0.8227594432553276,0.23475862458507643
3.0,2.0,slit,0.8097684000143444,0.8942396778343759,0.4683852865300461,0.6135302135249618,0.23475862458507643
3.0,2.5,slit,0.7982740740533238,0.8643309372575287,0.4683852865300461,0.4387526511990319,0.23475862458507643
3.0,3.0,slit,0.7893743036211915,0.8395762714848087,0.4683852865300461,0.3119906441757418,0.23475862458507643
3.0,3.5,slit,0.7829641395091043,0.8208694682903823,0.4683852865300461,0.22485200231099253,0.23475862458507643
3.0,4.0,slit,0.7785850896019875,0.8076624878457908,0.4683852865300461,0.1671841614434274,0.23475862458507643
3.0,4.5,slit,0.7755605891344972,0.7983361666044364,0.4683852865300461,0.12819251767027934,0.23475862458507643
3.0,5.0,slit,0.7734356817143452,0.7916831610202183,0.4683852865300461,0.10119415781530833,0.23475862458507643
3.0,5.5,slit,0.7718907638068839,0.7867936653391508,0.4683852865300461,0.08176524302515868,0.23475862458507643
3.0,6.0,slit,0.7707587787689628,0.7831829412029683,0.4683852865300461,0.06763465036242522,0.23475862458507643
3.0,6.5,slit,0.7698970298287547,0.7804182124380425,0.4683852865300461,0.05693638082279089,0.23475862458507643
3.0,7.0,slit,0.7692254456587034,0.7782539848827417,0.4683852865300461,0.048633946662041266,0.23475862458507643
3.0,7.5,slit,0.7686950230847984,0.7765387073519794,0.4683852865300461,0.042098144197083756,0.23475862458507643
3.0,8.0,slit,0.7682554030875144,0.7751130797015882,0.4683852865300461,0.03669551796107028,0.23475862458507643
3.0,1.0,cav,0.2892756396074916,0.7263227202306646,0.4198418820487719,0.889191343504857,0.9601528035589278
3.0,1.5,cav,0.24344343162121307,0.6202177017595527,0.4198418820487719,0.6980119592949429,0.9601528035589278
3.0,2.0,cav,0.19557382928396294,0.4999468726572688,0.4198418820487719,0.5138059925844934,0.9601528035589278
3.0,2.5,cav,0.15456581418220472,0.389130850131726,0.4198418820487719,0.36690518015062856,0.9601528035589278
3.0,3.0,cav,0.12371982526574987,0.3009671427449597,0.4198418820487719,0.26229189583136014,0.9601528035589278
3.0,3.5,cav,0.10185609247869842,0.23594068201822038,0.4198418820487719,0.19094212535101437,0.9601528035589278
3.0,4.0,cav,0.08688822642624516,0.1901971277087292,0.4198418820487719,0.14335596480547602,0.9601528035589278
3.0,4.5,cav,0.0765118566741706,0.15789581960312216,0.4198418820487719,0.11094355209777397,0.9601528035589278
3.0,5.0,cav,0.06917165191440411,0.13475258220727715,0.4198418820487719,0.08829217334916796,0.9601528035589278
3.0,5.5,cav,0.06381757399087262,0.1177174892098043,0.4198418820487719,0.07191180730074666,0.9601528035589278
3.0,6.0,cav,0.05984012985664888,0.1049780815082062,0.4198418820487719,0.05981957278632594,0.9601528035589278
3.0,6.5,cav,0.056790722196534804,0.09516228005907879,0.4198418820487719,0.05059242454525633,0.9601528035589278
3.0,7.0,cav,0.05439948075901979,0.08743537338701435,0.4198418820487719,0.043383113855203416,0.9601528035589278
