delta_meV,rho_req_gamma6.0,rho_req_gamma7.0
1.0,nan,nan
1.2,nan,nan
1.4,nan,nan
1.6,nan,nan
1.8,nan,nan
2.0,nan,nan
2.2,nan,nan
2.4000000000000004,nan,nan
2.6,nan,nan
2.8,nan,nan
3.0,0.9999999999999999,nan
3.2,0.9692539012044264,nan
3.4000000000000004,0.9430129142283175,nan
3.6,0.9204467514322717,0.9862089153375961
3.8000000000000003,0.9009075141380888,0.9613370767162015
4.0,0.8838834764831843,0.9395810236483068
4.2,0.8689660757568884,0.9204467514322717
4.4,0.8558259265346696,0.90353415372201
4.6,0.8441951234325042,0.8885163181602526
4.800000000000001,0.8338540040078958,0.8751239991503426
5.0,0.824621125123532,0.8631338250816034
5.2,0.8163455875688894,0.8523592389300119
5.4,0.8089010988089465,0.8426434661076635
5.6000000000000005,0.80218133732915,0.8338540040078959
5.800000000000001,0.7960963021113927,0.8258782663446543
6.0,0.7905694150420949,0.8186201126828542
6.2,0.78553520399264,0.8119970627833468
6.4,0.7809374374749875,0.8059380452692998
6.6000000000000005,0.7767276132106846,0.8003815664883146
6.800000000000001,0.7728637260865243,0.7952742122465432
7.0,0.769309258162072,0.7905694150420949
7.2,0.7660323462854265,0.7862264344149461
7.4,0.7630050926212488,0.7822095093908321
7.6000000000000005,0.76020299082391,0.7784871506757918
7.800000000000001,0.7576044462920081,0.7750315469391048
8.0,0.7551903733496608,0.7718180647017793
8.2,0.7529438556308845,0.7688248253897851
8.4,0.7508498586295942,0.7660323462854265
8.600000000000001,0.7488949854932381,0.7634232346176906
8.8,0.7470672688133455,0.7609819260242238
9.0,0.7453559924999299,0.7586944602082035
9.200000000000001,0.7437515388937392,0.7565482878899817
9.4,0.7422452571281876,0.7545321041828794
9.6,0.7408293494456061,0.7526357043565115
9.8,0.739496772734426,0.7508498586295942
10.0,0.7382411530116699,0.7491662031885848
10.200000000000001,0.7370567109495099,0.7475771450832527
10.4,0.7359381968520174,0.7460757790247162
10.600000000000001,0.7348808337415262,0.7446558144209123
10.8,0.7338802674234948,0.7433115112410706
11.0,0.7329325225725954,0.7420376235142958
11.200000000000001,0.7320339640274868,0.7408293494456061
11.4,0.7311812626026213,0.7396822872820504
11.600000000000001,0.7303713648267287,0.7385923961869042
11.8,0.7296014661027418,0.7375559614855646
12.0,0.7288689868556626,0.736569563735987
12.200000000000001,0.7281715512955019,0.7356300511520869
12.4,0.7275069684738007,0.7347345149727182
12.600000000000001,0.7268732153558928,0.7338802674234948
12.8,0.7262684216682562,0.7330648219653737
13.0,0.7256908563120464,0.7322858755638373
