rho\delta_meV,1.00,1.20,1.40,1.60,1.80,2.00,2.20,2.40,2.60,2.80,3.00,3.20,3.40,3.60,3.80,4.00,4.20,4.40,4.60,4.80,5.00,5.20,5.40,5.60,5.80,6.00,6.20,6.40,6.60,6.80,7.00,7.20,7.40,7.60,7.80,8.00,8.20,8.40,8.60,8.80,9.00,9.20,9.40,9.60,9.80,10.00,10.20,10.40,10.60,10.80,11.00,11.20,11.40,11.60,11.80,12.00,12.20,12.40,12.60,12.80,13.00
0.704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.712,57.04326853137172,61.0686711458402,64.68638431072759,68.01648505702906,71.13115097138507,74.07753615434922,76.88833163098025,79.5872349669371,82.19203199377807,84.71644891293545,87.17132387061429,89.5653795866674,91.90575082263967,94.19835516040621,96.44816023630847,98.65938056250161,100.83562526309106,102.98001083410054,105.0952484942245,107.18371275959362,109.2474959242536,111.28845181707584,113.30823128945485,115.30831126160047,117.29001868759224,119.25455048457661,121.20299021647952,123.13632215688995,125.05544321048365,126.96117307776876,128.85426296696824,130.73540309896634,132.6052291990345,134.4643281391618,136.31324286076415,138.15247668825032,139.98249711781682,141.80373916281678,143.61660831018526,145.4214831499703,147.21871771202132,149.00864355334488,150.79157162715273,152.56779396008642,154.33758515994123,156.10120377621206,157.85889352821687,159.6108844185801,161.3573937430483,163.0986270079884,164.8347787665407,166.5660333806154,168.29256572046143,170.0145417999156,171.73211936435837,173.44544842607866,175.1546717610472,176.8599253610446,178.56133885779127,180.25903590659436,181.9531345488067
0.720,68.46122289470804,73.40378523962863,77.96580245062069,82.24964517111948,86.32018171199888,90.22138303260726,93.98457136221987,97.63292579409608,101.18412580490985,104.65199156910239,108.04754875325307,111.3797458801564,114.65595293218212,117.88231722482305,121.06402328003605,124.20548641913047,127.31049952503236,130.38234604250465,133.42388819645566,136.43763672407658,139.42580661673856,142.3903621337813,145.33305349449802,148.25544703715423,151.15895020785683,154.04483241027629,156.91424252172874,159.76822369649017,162.60772595198068,165.43361692373583,168.2466911039519,171.0476778140728,173.83724811572756,176.61602082308673,179.384567761168,182.14341837224492,184.89306377213506,187.63396033165918,190.3665328479692,193.09117736174085,195.80826366752444,198.51813755546755,201.22112281770387,203.91752305232512,206.60762328347482,209.29169142367027,211.96997959651344,214.64272533114126,217.31015264998132,219.97247305473138,222.6298864249402,225.28258183751313,227.9307383181149,230.57452552333416,233.21410437214945,235.84962762215582,238.4812403984979,241.10908068458957,243.73327977083682,246.35396266968746,248.9712485011696
0.728,75.18803018903418,80.81665993428032,86.06436969478091,91.03116852453968,95.78139017384092,100.35910471870739,104.79594538021774,109.11545408643724,113.33566333710041,117.47071430996584,121.53191574876837,125.52846211426368,129.46793551366136,133.35666562819097,137.199993597329,141.00246926881664,144.76800117046514,148.49997227497806,152.20133057008206,155.87466078532452,159.52224182103237,163.14609318961448,166.7480129137257,170.32960871099203,173.89232385308424,177.43745875776222,180.96618913793645,184.47958135018416,187.9786054436554,191.4641463195003,194.93701331560442,198.39794847769372,201.8476337313332,205.2866971220501,208.71571826811123,212.1352331405942,215.54573827063723,218.94769446180726,222.34153007795976,225.72764396296407,229.10640803996648,232.47816963218793,235.84325354119937,239.20196391029458,242.5545859013364,245.9013872062642,249.24261940990982,252.57851922720147,255.90930962156563,259.23520082193136,262.55639125082234,265.8730683661852,269.1854094320879,272.49358222547744,275.7977456801309,279.0980504802865,282.3946396024403,285.68764881968673,288.9772071583866,292.26343732759415,295.5464561087574
0.736,80.25231125422579,86.44791239917686,92.25950758975523,97.786876822458,103.0946832146874,108.22744686836086,113.21723713063693,118.08797989787126,122.8580335360457,127.54181160488224,132.15084918377397,136.69452851793903,141.1805875996215,145.61548571263847,150.00467194760859,154.35278623698105,158.66381240963528,162.94119646302715,167.1879391839757,171.4066695507936,175.59970354095276,179.76909170554427,183.91665801180352,188.04403180799272,192.1526743366412,196.243900871792,200.31889933078492,204.37874600755458,208.42441895221418,212.45680940856982,216.4767316349462,220.484931380357,224.48209322713956,228.46884698090435,232.44577325119462,236.4134083409008,240.37224854885426,244.3227539642976,248.2653518247389,252.20043949810497,256.1283871349733,260.0495400355285,263.9642207679426,267.8727310680697,271.7753535446682,275.67235321852786,279.5639789087436,283.4504644888366,287.33203002369555,291.20888280247163,295.08121827650757,298.9492209166783,302.8130649924133,306.6729152860207,310.5289277460979,314.3812500853237,318.23002233133593,322.07537733031495,325.9174412138673,329.7563338273176,333.5921691235708
0.744,84.42525300268608,91.1151537666301,97.41768804077583,103.43300924605865,109.22630758692685,114.84259602455131,120.31436116537952,125.66587037251156,130.91575811874645,136.07866050991288,141.16629209449457,146.18818014902354,151.15218016113795,156.06484682955488,160.93170688491955,165.7574635216588,170.54615214718797,175.3012608008139,180.02582449185138,184.72249998689222,189.39362573473772,194.0412703553302,198.66727222346526,203.27327204660105,207.8607398816821,212.43099769084074,216.98523829899204,221.52454141656926,226.04988726276497,230.56216820281406,235.0621987432387,239.5507241483865,244.02842790943396,248.49593823232863,252.95383370925265,257.40264828181535,261.84287560493976,266.2749728969502,270.6993643424503,275.11644411344605,279.5265790544945,283.9301110784145,288.3273593092599,292.7186220005533,297.1041782601824,301.4842896023911,305.85920134843036,310.2291438913817,314.5943338433135,318.9549750746082,323.31125965832325,327.6633687332069,332.0114732861257,336.35573487017245,340.69630625996797,345.0333320528589,349.36694921979506,353.6972876119398,358.0244704264187,362.348614635368,366.6698313816887
0.752,88.03196012978151,95.16645056962443,101.9104158962873,108.36458975017013,114.59472715445736,120.64631264437048,126.55220940169238,132.33698139533226,138.01949608438008,143.61457285714278,149.13407087231462,154.58763185421412,159.9832021106995,165.32740854476287,170.6258353364392,175.883231370055,181.10366832050204,186.29066290789342,191.4472726877866,196.5761719931761,201.67971278524783,206.75997388463293,211.81880115934473,216.85784059103753,221.87856569061114,226.882300383455,231.87023823340132,236.84345868944365,241.8029408920993,246.74957546354563,251.68417462961224,256.60748094112205,261.5201748310501,266.42288117737917,271.3161750332074,276.2005866436666,281.076605852184,285.9446859853779,290.805247286582,295.6586799623183,300.5053468874976,305.34558601853496,310.1797125503217,315.00802084580937,319.8307861718786,324.6482662573835,329.4607027006132,334.2683222390333,339.071337899848,343.86995004197524,348.6643473045697,353.4547074673901,358.2411982385238,363.0239779690892,367.8031963111862,372.5789948160673,377.35150748804153,382.1208612857881,386.887176590375,391.6505676324159,396.41114288517565
0.760,91.24292050297663,98.78547644637001,105.9346464160044,112.79181301487552,119.42328433449438,125.87498056965705,132.18010067169962,138.3634662763361,144.44414290953137,150.437102754644,156.3543232727825,162.2055380538659,167.99876486694848,173.74068621844344,179.43692948420357,185.09227698067843,190.71082608670986,196.2961130823387,201.8512101807719,207.3788024457608,212.88124941986462,218.36063497165742,223.81880798043858,229.25741580051545,234.6779319987836,240.08167950330244,245.46985003761074,250.8435205437563,256.2036671286478,261.5511769726145,266.88685854409414,272.211450403076,277.52562881879567,282.8300143882079,288.1251778103615,293.4116449343419,298.6899012003414,303.9603955430939,309.22354384961363,314.47973201626155,319.72931866945873,324.9726375882601,330.20999986662355,335.4416958535876,340.6679968880053,345.88915686339897,351.1054136361781,356.31699029651645,361.5240963204269,366.7269286102237,371.92567244342354,377.12050233273476,382.3115828099981,387.4990691427811,392.68310798816674,397.8638379913027,403.04139033363026,408.2158892360894,413.3874524229759,418.5561915468279,420.0
0.768,94.15967612744134,102.08212512834871,109.60862460559292,116.84121883240005,123.84674086894665,130.67150923139707,137.34902212534507,143.9043261862098,150.35665677853103,156.7211148377246,163.00977575847355,169.23244776738284,175.3972055089398,181.5107747232105,187.5788154713082,193.60613454664417,199.59684738783108,205.5545032973314,211.4821835411276,217.3825791049021,223.258052977224,229.11069052039238,234.94234056225105,240.75464919455408,246.5490877719858,252.32697627185553,258.0895028994273,263.8377406490472,269.57266136021644,275.295147715442,281.00600352983747,286.70596261018363,292.39569642218703,298.07582074603124,303.74690147874935,309.40945971205656,315.063976186284,320.7108952142444,326.3506281454029,331.9835564369423,337.6100343767466,343.2303915135417,348.84493482143444,354.4539506397123,360.0577064121171,365.65645224905165,371.25042233655404,376.83983620528306,382.4248998795665,388.0058069193765,393.5827393639338,399.1558685898053,404.7253560937097,410.29135420495004,415.85400673655386,420.0,420.0,420.0,420.0,420.0,420.0
0.776,96.84803124323662,105.12786594765203,113.009459089124,120.59550479789323,127.95332836911257,135.12961169744085,142.15812048404769,149.06409900785366,155.8669293892308,162.581821984626,169.22093397054414,175.79413469713472,182.30954436068714,188.77392242055794,195.19295360664546,201.57146242064482,207.91357663045346,214.22285369991732,220.50237981961982,226.75484838533157,232.98262284228986,239.1877874975762,245.37218896076956,251.53747021434538,257.6850988302467,263.8163905013498,269.9325287875399,276.0345817812631,282.1235162536468,288.2002097208315,294.265460786919,300.31999804957013,306.3644877982879,312.39954069834494,318.4257176132087,324.44353469826456,330.45346786685695,336.4559567221004,342.4514080282388,348.44019878398103,354.4226789500244,360.3991738769255,366.3699864726659,372.33539914018183,378.29567551436776,384.2510620227695,390.2017892907752,396.1480734106008,402.0901170839061,408.0281106618786,413.9622330850543,419.8926527395233,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
