rho\delta_meV,1.00,1.20,1.40,1.60,1.80,2.00,2.20,2.40,2.60,2.80,3.00,3.20,3.40,3.60,3.80,4.00,4.20,4.40,4.60,4.80,5.00,5.20,5.40,5.60,5.80,6.00,6.20,6.40,6.60,6.80,7.00,7.20,7.40,7.60,7.80,8.00,8.20,8.40,8.60,8.80,9.00,9.20,9.40,9.60,9.80,10.00,10.20,10.40,10.60,10.80,11.00,11.20,11.40,11.60,11.80,12.00,12.20,12.40,12.60,12.80,13.00
0.864,118.84331228605879,130.26238178471976,141.26910773517739,151.97163274347258,162.44095889029268,172.72626040417526,182.8630042020959,192.8776007868728,202.7902312976512,212.61664953133732,222.3693760671449,232.05851560847077,241.69233197507856,251.27766224175866,260.820221174843,270.32482907029043,279.79558498643746,289.2360003268259,298.6491031614569,308.03752062456624,317.40354467938596,326.749185096196,336.0762125066394,345.38619366478815,354.68052054072905,363.96043448765704,373.22704644121404,382.4813539036113,391.72425529973407,400.956562176274,410.1790096161858,419.39226516925555,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.872,120.4599002663017,132.12240222528635,143.37189979215327,154.31689670517517,165.0286179252289,175.55637632637809,185.93572490623046,196.19312672039086,206.3487937037862,216.41849614937382,226.4147616695118,236.34769572770165,246.22555877071864,256.05518181635125,265.8422718830843,275.5916405107273,285.3073774638324,294.99298463952437,304.65148060971114,314.2854831713339,323.8972752076079,333.48885773342045,343.0619929840759,352.6182396986842,362.158982221692,371.6854546658142,381.19876110683254,390.69989255409746,400.1897412949038,409.6691130747058,419.1387374979531,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.880,122.0379148984066,133.93946978072927,145.42742459361034,156.61062715041044,167.5605124116555,178.326522270203,188.94428858991887,199.4403215370112,209.83485970796028,220.1436867329321,230.37933483372035,240.55190836753172,250.66966297042381,260.7394224957534,270.7668853643845,280.7568537118641,290.7134075182403,300.64003880987,310.5397563949664,320.41516854475776,330.2685489398573,340.10188976295467,349.91694481858576,359.7152648271149,369.49822652664443,379.26705683027103,389.0228530095337,398.7665996482683,408.4991829703358,418.22140300470346,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.888,123.58049812052923,135.7170658060495,147.43949764173885,158.85696946039388,170.0411142179073,181.04149391730607,191.89381264489202,202.62462269196112,213.25418554666976,223.7982953107712,234.26948662598443,244.6778610682668,255.03166817883903,265.33772366632184,275.6017166067177,285.82843916529964,296.02196111802186,306.185764310605,316.3228475673677,326.43580948551244,336.526914446571,346.59814575147175,356.6512487584696,366.68776618015545,376.70906718044716,386.7163715239003,396.71076973759045,406.69324005286035,416.664662709969,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.896,125.0904139129998,137.4582549485931,149.41147956579516,161.05957648738695,172.47436545185337,183.70552030242106,194.78881121515587,205.75082802386896,216.61185165935603,227.38768408623582,238.09086038284295,248.7314778354048,259.31777874012187,269.85656978840416,280.3535300526855,290.8134412368672,301.2403625492152,311.6377653937525,322.0086384300521,332.355570461732,342.68081650276145,352.98635094317433,363.2739106926747,373.5450304802944,383.8010719407903,394.04324774276756,404.2726417392114,414.49022588274966,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.904,126.57010761600395,139.16575027756335,151.34634698474838,163.221685070268,174.86376056280278,186.3223514493875,197.63328831833496,208.82319432131771,219.91236666876648,230.9166128041834,241.8484664415737,252.7180192119704,263.5335051370639,274.3017211127881,285.0283356257278,295.71811948860704,306.37512102948676,317.00280099011434,327.6041377181391,338.1817101305205,348.7377638271282,359.2742642704543,369.7929399379209,380.29531760867394,390.78275143560313,401.2564470568177,411.7174817200721,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.912,128.0217539236328,140.84196602333395,153.24674992110522,165.34617806498136,177.21241293182538,188.8953294763196,200.43081342709775,211.8455173510156,223.1597518267372,234.3893275947048,245.54677536255622,256.6421798715746,267.6837659385783,278.6783199697529,289.6314993524138,300.548063630893,311.4320499840396,322.2869083078258,333.1156065157702,343.92071356969245,354.7044656243379,365.46881921692693,376.2154944145441,386.94601008958125,397.66171296943503,408.36380172641657,419.0533470779628,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.920,129.44729606957117,142.48906067262578,155.11505874693103,167.43563508654188,179.52310936925642,191.42744680964097,203.18458337134507,214.82119741976203,226.3576102177758,237.80963379827153,249.1897943646327,260.50816864431545,271.7729714127345,282.9909779646987,294.1678341304505,305.3082878582791,316.41636494778504,327.4955042917718,338.54866327579657,349.57840085546195,360.5869437248766,371.5762395084748,382.5479998962983,393.50373590127856,404.4447868869902,415.3723446303193,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.928,130.84847809276835,144.10897247587855,156.9534028852504,169.49237436284602,181.7983550827048,193.92139423602202,205.897473447214,217.75329352387052,229.50918392847234,241.18095614491904,252.78113049779495,264.3197746806982,275.8050926694268,287.24384808972536,298.64167481182085,310.00330889852194,321.3327645719255,332.63346959454066,343.90837074753654,355.1600169470039,366.3906254241447,377.60213491103787,388.7962487623008,399.9744701858872,411.13813124511216,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.936,132.22687160871283,145.70344892713183,158.7637029610778,171.51848751977377,184.04041106595832,196.37960086973908,208.57207994435157,220.6445684128994,232.61740164087678,244.50638885948865,256.32404325726384,268.0804225613101,279.7837192626175,291.4406848173094,303.0569407754083,314.6372110637749,326.1854981578799,337.70521858400025,349.1993084614078,360.67030664700724,372.12042091628246,383.5515811411169,394.9654823853489,406.3636201105983,417.74731914726726,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.944,133.58389817860734,147.27407141918957,160.547697700953,173.51586869558378,186.25132540213235,198.80426762717252,211.2107557705749,223.49752635842015,235.68491852229636,247.7887376728322,259.8214887021022,271.7932185209502,283.71210751241597,295.58489451427886,307.41718843778654,319.2137008528953,330.9784223454335,342.7147581191821,354.4256335898972,366.11357754697383,377.78078832909523,389.4291869835142,401.06046033512393,412.6760961605032,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.952,134.9208481269743,148.82227598967438,162.30696658247325,175.48623906781722,188.4329596482712,201.1973954464047,213.81564049511508,226.31444500350335,238.71414988367178,251.03055526978278,263.2761566927802,275.46098946822167,287.5932213059423,299.679578020543,311.7256556011125,323.7361530703929,335.7150490019849,347.6657372094487,359.59113237627025,371.49375322698324,383.37578868881974,395.2391510267771,407.0855188820424,418.9163724116079,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.960,136.23889646564203,150.34937089083542,164.04294902457332,177.43116764134902,190.58701120073965,203.5608092178445,216.38868583350268,229.09740239354142,241.70729974044662,254.23417138271907,266.69050250835426,279.0863161217858,291.42976674698,303.7275668121438,315.9852991314692,328.20765001476684,340.3985859212553,352.5614892209269,364.69926384948485,376.8144184768171,388.90913265124254,400.98530990279687,413.0446207483619,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.968,137.53911644963955,151.85655155630957,165.75696073753352,179.3520889653737,192.7150323670794,205.8961781977123,218.9316773898172,231.84830003893876,244.66638519191474,257.40171847962483,270.06677383756323,282.67156130562944,295.22422175352403,307.7314538942737,320.1988271462178,332.63101496094896,345.0319715996884,357.4050679476204,369.75319718736864,382.078857953471,394.38422045279003,406.67117953261186,418.9413976449141,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.976,138.8224911736179,153.34491340674867,167.4502077279758,181.25031831696106,194.81844671109866,208.20503350558283,221.44625329873816,234.5688826963742,247.59325733564037,260.5351538052346,273.40703394783486,286.21889423685207,298.9788614624558,311.69362032775825,324.3687266558554,337.0088409182936,349.6179051075451,362.1992785975017,374.7558438192209,387.2900893979968,399.8041762419889,412.2999905694596,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.984,140.08992354590737,154.81546287644596,169.1237983508181,183.1270647711499,196.89856313202472,210.4887832020031,223.9339202936826,237.26075541951286,250.48961929733923,263.63627838705725,276.71318166215497,289.7303114756505,302.69578014961735,315.61625811127305,328.49728741632134,341.3435154469189,354.1588718730636,366.9467045391939,379.70988513539487,392.45089231025486,405.1718777182541,417.87471900765377,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
0.992,141.3422449061909,156.26912693829217,170.7787537350814,184.983442509445,198.9565880466107,212.74872533437156,226.3960676149436,239.9253983237286,253.35704184537462,266.70675349964586,279.986968668949,293.2076550762722,306.3769102225924,319.50139002011565,332.58662260240817,345.6372421725682,358.65716603460896,371.64973049519176,384.6177965215902,397.563832820495,410.4899818449194,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
1.000,142.58022250131762,157.70676137563714,172.41601683590852,186.82048064480477,200.99363597611955,214.9860592836485,228.83397910212807,242.5641794246476,256.19697697389347,269.74811498513736,283.2300145804038,296.65262838425406,310.02403875232267,323.35088686803647,336.63868680661835,349.89205951719487,363.11490990449965,376.3105627377954,389.4818682846235,402.6312853513955,415.7609472411132,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
