delta_meV,g2_lo,g2_hi
1.5,0.37460202599137016,0.9224861073980706
1.75,0.29021950819815934,0.8808302283407042
2.0,0.23344901809190466,0.8394113373872095
2.25,0.19421960807502925,0.8017494484095347
2.5,0.16621955437693636,0.7696359484930251
2.75,0.1456148918951019,0.7443138673022897
3.0,0.13003922028671322,0.7271243421566286
3.25,0.1179888020571721,0.7122992985203149
3.5,0.10847783317512871,0.699640144946696
3.75,0.10084067107607053,0.6888654358761735
4.0,0.09461562055653683,0.6796878738717891
4.25,0.08947465558110712,0.6718471035208571
4.5,0.08517967541135507,0.6651198480823597
4.75,0.08155452273297559,0.6593197993385878
5.0,0.07846662733506993,0.6542935448547025
