delta_meV,g2_lo,g2_hi
1.5,0.07570714617938101,0.5594731750240569
1.75,0.06365455340658377,0.5342196007008653
2.0,0.055883649835568594,0.5170853177014694
2.25,0.05058070949843774,0.5050335758377733
2.5,0.046800312941685296,0.49627362978516276
2.75,0.04401025002992631,0.48972244887493144
3.0,0.041892227672036486,0.4847021472240085
3.25,0.04024635648850594,0.48077369282424864
3.5,0.03894194590565847,0.47764369266865825
3.75,0.037890612298645654,0.475110504029831
4.0,0.03703083967348364,0.47303204980723634
4.25,0.0363187380189246,0.4713059885197187
4.5,0.0357223099210644,0.4698571401378925
4.75,0.03521778148692234,0.46862930148292925
5.0,0.03478718957118432,0.4675797910646774
